epoch,train_loss,train_accuracy,train_f1,val_loss,val_accuracy,val_f1,lr,train_epoch_seconds,val_epoch_seconds,train_examples_per_sec,val_examples_per_sec,train_steps_per_sec,val_steps_per_sec,train_cpu_util,val_cpu_util,train_ram_used_gb,val_ram_used_gb,train_vram_used_gb,val_vram_used_gb,train_vram_peak_gb,val_vram_peak_gb
1.0,0.07775552789648096,0.9806463068181818,0.9809677080687255,0.006687571640839313,0.9988535866360957,0.9989768140818893,0.00014940860259858585,85.01637621922418,12.740042594028637,861.1987861162701,1437.82878783983,6.72811551653336,11.30294494207531,9.2,10.1,14.41305923461914,14.98388671875,2.107421875,0.185546875,1.9359660148620605,0.34650754928588867
2.0,0.004607849187784262,0.9987297858391608,0.9988637192411877,0.0025286394925809396,0.9992903155366306,0.999368354674993,0.00014764373708464734,34.30949246697128,2.2237732789944857,2133.986682271178,8237.350530753196,16.671770955243577,64.7548027311093,10.8,20.8,15.089988708496094,15.181072235107422,2.1171875,2.177734375,1.9366965293884277,0.34577512741088867
3.0,0.0027986441875671175,0.9991941652097902,0.9992798615272905,0.001172710888926438,0.9997816355497325,0.999805651903818,0.00014473323644161886,34.2943604150787,2.2243292699567974,2134.9282830715238,8235.291531435805,16.67912721149628,64.73861668996375,10.9,20.8,15.279594421386719,15.369606018066406,2.23828125,2.298828125,1.9363322257995605,0.34577512741088867
4.0,0.0019450800402181132,0.9994400131118881,0.9995011776291349,0.0008103685850711326,0.9997270444371656,0.9997572828339637,0.00014072300100328978,34.32748277601786,2.2196362249087542,2132.8683049008982,8252.703661273605,16.663033632038267,64.87549553572438,10.8,20.7,15.312583923339844,15.403915405273438,2.359375,2.419921875,1.9363322257995605,0.34577512741088867
5.0,0.0022120236100016772,0.9993170891608392,0.99938839940554,0.0007360013555082539,0.9997816355497325,0.9998056512260556,0.00013567627457812108,34.30540268099867,2.2308151598554105,2134.2410896856613,8211.348178747035,16.67375851316923,64.55039511625576,10.8,20.8,15.318519592285156,15.367835998535156,2.48046875,2.541015625,1.9363322257995605,0.34577512741088867
6.0,0.0012018200192418131,0.9996995192307693,0.9997198844671594,0.0003042417864232543,0.9999454088874331,0.9999509878551983,0.0001296726470566059,34.30343223805539,2.2239866429008543,2134.3636838408243,8236.560259241009,16.67471628000644,64.74859031175374,10.8,20.7,15.319740295410156,15.406684875488281,2.6015625,2.662109375,1.9363322257995605,0.34577512741088867
7.0,0.0007486816469605987,0.9997541520979021,0.9997817243801969,0.00034614020084264903,0.9998908177748662,0.9999018118534567,0.00012280679923115174,34.330411572009325,2.2401765768881887,2132.686345645076,8177.033984278769,16.661612075352156,64.2806471086441,11.0,20.9,15.338539123535156,15.464786529541016,2.72265625,2.783203125,1.9363322257995605,0.34577512741088867
8.0,0.0014463519299780573,0.9996585445804196,0.9996943043318041,0.000516888251639386,0.9998908177748662,0.9999022407051464,0.00011518700962342474,34.33906602393836,2.221376181114465,2132.1488461264457,8246.23949591908,16.657412860362857,64.82467995481754,10.9,20.8,15.36502456665039,15.447784423828125,2.84375,2.904296875,1.9363322257995605,0.34577512741088867
9.0,0.00025119588195860804,0.9999453671328671,0.999951085836512,0.0006586219145359073,0.9998362266622994,0.999853058111654,0.00010693344686738045,34.4095718129538,2.138991568936035,2127.7800374265967,8563.84862195209,16.623281542395286,67.32144347423849,10.9,20.6,15.361583709716797,15.43856430053711,2.96484375,3.025390625,1.9363322257995605,0.34577512741088867
10.0,0.0006540553136305375,0.9998497596153846,0.9998655865143792,0.001051326338960323,0.9997816355497325,0.9998056618800181,9.817627457812105e-05,32.72937288205139,2.1543950540944934,2237.0120033723974,8502.618851257612,17.476656276346855,66.84010888640114,10.4,20.6,15.36159896850586,15.448749542236328,3.0859375,3.146484375,1.9363322257995605,0.34577512741088867
