epoch,train_loss,train_accuracy,train_f1,val_loss,val_accuracy,val_f1,lr
1.0,0.4552823377273955,0.8553449207492796,0.8559769747153471,0.1973388364448417,0.9363194819212088,0.936739336728421,0.0002988172051971717
2.0,0.12382099470418881,0.9658006123919308,0.9659817573604247,0.104862965918162,0.9672602986148587,0.9676974836072988,0.0002952874741692947
3.0,0.07255692165935418,0.9791291426512968,0.9792447869079062,0.14372232282391167,0.9528692210829286,0.9525262841077741,0.0002894664728832377
4.0,0.04621790465429124,0.9874144452449568,0.9874745954017593,0.038875817952342205,0.9890268033819032,0.9890752019376647,0.00028144600200657956
5.0,0.03808624531418858,0.9895758285302594,0.9896355046502678,0.04597435814160455,0.9874078071595611,0.9874267716027978,0.00027135254915624217
6.0,0.029333691775627026,0.9922775576368876,0.9923050214286706,0.014756095818980904,0.996492174851592,0.9964950584037814,0.0002593452941132118
7.0,0.02150532148069882,0.994011167146974,0.9940340187683221,0.1055394800731359,0.9616837560712358,0.962040270140802,0.00024561359846230347
8.0,0.018207124055977856,0.9953845461095101,0.9954038566219998,0.03240408488241197,0.9906457996042454,0.9907893188008806,0.0002303740192468495
9.0,0.013483724951400537,0.996307636887608,0.9963253385909064,0.023280731656821988,0.9931642381723331,0.9931154713047865,0.0002138668937347609
10.0,0.010947974339685798,0.9973658141210374,0.9973795561039589,0.010128067903197868,0.9978413383702105,0.9978372964562313,0.0001963525491562421
11.0,0.011814154534243712,0.9969605547550432,0.9969730423471962,0.008261069009406551,0.9978413383702105,0.9978400005034984,0.00017810719718785873
12.0,0.007382799637764263,0.9983789625360231,0.9983824849016549,0.0086186809234427,0.997931282604785,0.9979227289878082,0.00015941857792939703
13.0,0.005594226400171989,0.9987391930835735,0.9987429372189667,0.012643406815313568,0.996492174851592,0.9965061367380251,0.00014058142207060302
14.0,0.0042940793875658545,0.9990318804034583,0.9990292725492628,0.016548561608111564,0.9955927325058463,0.9955921285284053,0.00012189280281214133
15.0,0.004843035761148854,0.9987391930835735,0.9987441136322264,0.004692285561394318,0.9989206691851052,0.9989192382956119,0.00010364745084375795
16.0,0.0034285611996389604,0.9991669668587896,0.9991663200288157,0.003601813963965388,0.9990106134196798,0.9990135223133276,8.61331062652391e-05
17.0,0.0019021389807335582,0.9996847982708934,0.9996816047703179,0.002436717479943929,0.999190501888829,0.9991940074605585,6.962598075315047e-05
18.0,0.001408318878937867,0.9998423991354467,0.9998425936049715,0.002076866258325112,0.9996402230617017,0.9996369076071268,5.4386401537696536e-05
19.0,0.0010190302082028787,0.9998649135446686,0.9998647703835726,0.0016384812691460885,0.9995502788271272,0.9995522407719093,4.06547058867883e-05
20.0,0.0008148788031652269,0.9998649135446686,0.999865720960963,0.0029691321147734106,0.999190501888829,0.9991939079897669,2.86474508437579e-05
21.0,0.0006345393678296883,0.9999774855907781,0.9999771250083288,0.0015012242206889834,0.9995502788271272,0.9995460362738025,1.8553997993420465e-05
22.0,0.000504129128772175,0.9999774855907781,0.999977830797809,0.0013549853237568635,0.9994603345925526,0.9994608056390882,1.05335271167623e-05
23.0,0.00043626133921510546,0.9999774855907781,0.9999779708046447,0.0014184889850866926,0.9996402230617017,0.9996424534222678,4.712525830705356e-06
24.0,0.0003424836725254224,1.0,1.0,0.0013621996409345347,0.9995502788271272,0.9995527744916805,1.1827948028283355e-06
25.0,0.00044686607050277313,0.9999549711815562,0.9999548265155159,0.001430407169161565,0.9996402230617017,0.9996424534222678,0.0
