epoch,train_loss,train_accuracy,train_f1,val_loss,val_accuracy,val_f1,lr
1.0,0.05513194241101229,0.9955003955696202,0.09977451247615035,0.02713096964758999,1.0,0.1,0.00029917828430524096
2.0,0.0011392804452135593,1.0,0.1,0.01387889342900564,1.0,0.1,0.0002967221401100708
3.0,0.0005334031449843057,1.0,0.1,0.009801428228675496,1.0,0.1,0.00029265847744427303
4.0,0.0003193088488865502,1.0,0.1,0.012042553090955144,1.0,0.1,0.0002870318186463901
5.0,0.000209991879101041,1.0,0.1,0.00357584191497261,1.0,0.1,0.0002799038105676658
6.0,0.00013873977232960205,1.0,0.1,0.002487348710761738,1.0,0.1,0.0002713525491562421
7.0,0.00010023327379287044,1.0,0.1,0.002291674491686699,1.0,0.1,0.00026147172382160914
8.0,7.556891068816185e-05,1.0,0.1,0.0017930850945045726,1.0,0.1,0.00025036959095382875
9.0,5.560342953363552e-05,1.0,0.1,0.0018354891790205675,1.0,0.1,0.000238167787843871
10.0,5.242804984880399e-05,1.0,0.1,0.0018227054287460898,1.0,0.1,0.00022500000000000002
11.0,4.22859293279014e-05,1.0,0.1,0.0008247878659641484,1.0,0.1,0.0002110104964613701
12.0,3.511097895193704e-05,1.0,0.1,0.0008729174762552777,1.0,0.1,0.00019635254915624216
13.0,2.6945036517668376e-05,1.0,0.1,0.000792661456196501,1.0,0.1,0.00018118675362266393
14.0,2.4156852719621568e-05,1.0,0.1,0.0006515413111248431,1.0,0.1,0.0001656792694901481
15.0,2.062281658519295e-05,1.0,0.1,0.0005501499307696401,1.0,0.1,0.0001500000000000001
16.0,1.8849156950187834e-05,1.0,0.1,0.0006161844001484105,1.0,0.1,0.00013432073050985205
17.0,1.651288416896817e-05,1.0,0.1,0.0005789362232125488,1.0,0.1,0.00011881324637733612
18.0,1.458252656356066e-05,1.0,0.1,0.0005901463638395952,1.0,0.1,0.00010364745084375793
19.0,1.276054867555069e-05,1.0,0.1,0.0005445931790143075,1.0,0.1,8.898950353863002e-05
20.0,1.1014864084464086e-05,1.0,0.1,0.0004722440971660426,1.0,0.1,7.500000000000005e-05
21.0,9.591084067957311e-06,1.0,0.1,0.0003281474818844767,1.0,0.1,6.183221215612906e-05
22.0,1.0146651876783824e-05,1.0,0.1,0.00045819338962171203,1.0,0.1,4.963040904617133e-05
23.0,8.169426052253457e-06,1.0,0.1,0.00033926171428823375,1.0,0.1,3.852827617839091e-05
24.0,8.381604028370561e-06,1.0,0.1,0.00032309463038247013,1.0,0.1,2.8647450843757908e-05
25.0,8.473737177120733e-06,1.0,0.1,0.0002897701319858167,1.0,0.1,2.00961894323342e-05
26.0,7.475758725895158e-06,1.0,0.1,0.0003107488037801588,1.0,0.1,1.2968181353609857e-05
27.0,7.37685433152733e-06,1.0,0.1,0.00029798162994535245,1.0,0.1,7.341522555726972e-06
28.0,7.81642237701748e-06,1.0,0.1,0.00021925720237415922,1.0,0.1,3.2778598899291474e-06
29.0,7.116788397012632e-06,1.0,0.1,0.0003200677254731368,1.0,0.1,8.2171569475899e-07
30.0,7.046654796864413e-06,1.0,0.1,0.00026211686858528937,1.0,0.1,0.0
